id,report_type_metric_sub_metric_id,question_id,order_id,created_by,"created_at",updated_by,"updated_at",deleted_by,"deleted_at"
51,25,86,86,1,"2010-02-03 10:54:29",1,"2010-02-03 10:54:29",NULL,NULL
52,26,91,91,1,"2010-02-03 10:54:29",1,"2010-02-03 10:54:29",NULL,NULL
53,1,2,3,1,"2010-02-03 10:57:02",13,"2011-01-10 11:10:21",NULL,NULL
54,2,8,8,1,"2010-02-03 10:57:02",1,"2010-02-03 10:57:02",NULL,NULL
55,3,12,12,1,"2010-02-03 10:57:02",1,"2010-02-03 10:57:02",NULL,NULL
56,4,15,15,1,"2010-02-03 10:57:02",1,"2010-02-03 10:57:02",NULL,NULL
57,5,20,20,1,"2010-02-03 10:57:02",1,"2010-02-03 10:57:02",NULL,NULL
58,6,95,95,1,"2010-02-03 10:57:02",1,"2010-02-03 10:57:02",NULL,NULL
59,8,29,29,1,"2010-02-03 10:57:02",1,"2010-02-03 10:57:02",NULL,NULL
60,13,33,33,1,"2010-02-03 10:57:02",1,"2010-02-03 10:57:02",NULL,NULL
61,9,37,37,1,"2010-02-03 10:57:02",1,"2010-02-03 10:57:02",NULL,NULL
62,10,40,40,1,"2010-02-03 10:57:02",1,"2010-02-03 10:57:02",NULL,NULL
63,14,44,44,1,"2010-02-03 10:57:02",1,"2010-02-03 10:57:02",NULL,NULL
64,18,48,48,1,"2010-02-03 10:57:02",1,"2010-02-03 10:57:02",NULL,NULL
65,11,52,52,1,"2010-02-03 10:57:02",1,"2010-02-03 10:57:02",NULL,NULL
66,19,58,58,1,"2010-02-03 10:57:02",1,"2010-02-03 10:57:02",NULL,NULL
67,12,62,62,1,"2010-02-03 10:57:02",1,"2010-02-03 10:57:02",NULL,NULL
68,16,65,65,1,"2010-02-03 10:57:02",1,"2010-02-03 10:57:02",NULL,NULL
69,23,70,70,1,"2010-02-03 10:57:02",1,"2010-02-03 10:57:02",NULL,NULL
70,17,73,73,1,"2010-02-03 10:57:02",1,"2010-02-03 10:57:02",NULL,NULL
71,21,77,77,1,"2010-02-03 10:57:02",1,"2010-02-03 10:57:02",NULL,NULL
72,24,98,98,1,"2010-02-03 10:57:02",1,"2010-02-03 10:57:02",NULL,NULL
73,22,82,82,1,"2010-02-03 10:57:02",1,"2010-02-03 10:57:02",NULL,NULL
74,25,87,87,1,"2010-02-03 10:57:02",1,"2010-02-03 10:57:02",NULL,NULL
75,26,92,92,1,"2010-02-03 10:57:02",1,"2010-02-03 10:57:02",NULL,NULL
76,1,3,4,1,"2010-02-03 10:59:53",13,"2011-01-10 11:10:21",NULL,NULL
77,2,9,9,1,"2010-02-03 10:59:53",1,"2010-02-03 10:59:53",NULL,NULL
78,4,16,16,1,"2010-02-03 10:59:53",1,"2010-02-03 10:59:53",NULL,NULL
79,5,21,21,1,"2010-02-03 10:59:53",1,"2010-02-03 10:59:53",NULL,NULL
80,8,30,30,1,"2010-02-03 10:59:53",1,"2010-02-03 10:59:53",NULL,NULL
81,13,34,34,1,"2010-02-03 10:59:53",1,"2010-02-03 10:59:53",NULL,NULL
82,10,41,41,1,"2010-02-03 10:59:53",1,"2010-02-03 10:59:53",NULL,NULL
83,14,45,45,1,"2010-02-03 10:59:53",1,"2010-02-03 10:59:53",NULL,NULL
84,18,49,49,1,"2010-02-03 10:59:53",1,"2010-02-03 10:59:53",NULL,NULL
85,11,53,53,1,"2010-02-03 10:59:53",1,"2010-02-03 10:59:53",NULL,NULL
86,19,59,59,1,"2010-02-03 10:59:53",1,"2010-02-03 10:59:53",NULL,NULL
87,17,74,74,1,"2010-02-03 10:59:53",1,"2010-02-03 10:59:53",NULL,NULL
88,22,83,83,1,"2010-02-03 10:59:53",1,"2010-02-03 10:59:53",NULL,NULL
89,25,88,88,1,"2010-02-03 10:59:53",1,"2010-02-03 10:59:53",NULL,NULL
90,26,93,93,1,"2010-02-03 10:59:53",1,"2010-02-03 10:59:53",NULL,NULL
91,1,4,5,1,"2010-02-03 11:02:12",13,"2011-01-10 11:10:21",NULL,NULL
92,4,17,17,1,"2010-02-03 11:02:12",1,"2010-02-03 11:02:12",NULL,NULL
93,5,22,22,1,"2010-02-03 11:02:12",1,"2010-02-03 11:02:12",NULL,NULL
94,18,96,96,1,"2010-02-03 11:02:12",1,"2010-02-03 11:02:12",NULL,NULL
95,11,97,97,1,"2010-02-03 11:02:12",1,"2010-02-03 11:02:12",NULL,NULL
96,22,84,84,1,"2010-02-03 11:02:12",1,"2010-02-03 11:02:12",NULL,NULL
97,25,89,89,1,"2010-02-03 11:02:12",1,"2010-02-03 11:02:12",NULL,NULL
98,26,94,94,1,"2010-02-03 11:02:12",1,"2010-02-03 11:02:12",NULL,NULL
99,27,1,1,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
100,27,2,2,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
101,27,3,3,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
102,27,4,4,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
103,27,5,5,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
104,28,6,6,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
105,28,7,7,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
106,28,8,8,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
107,28,9,9,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
108,29,10,10,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
109,29,11,11,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
110,29,12,12,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
111,30,13,13,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
112,30,14,14,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
113,30,15,15,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
114,30,16,16,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
115,30,17,17,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
116,31,18,18,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
117,31,19,19,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
118,31,20,20,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
119,31,21,21,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
120,31,22,22,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
121,32,23,23,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
122,32,24,24,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
123,32,95,95,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
124,33,25,25,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
125,33,26,26,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
126,34,27,27,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
127,34,28,28,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
128,34,29,29,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
129,34,30,30,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
130,35,31,31,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
131,35,32,32,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
132,35,33,33,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
133,35,34,34,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
134,36,35,35,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
135,36,36,36,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
136,36,37,37,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
137,37,38,38,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
138,37,39,39,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
139,37,40,40,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
140,37,41,41,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
141,38,42,42,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
142,38,43,43,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
143,38,44,44,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
144,38,45,45,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
145,39,46,46,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
146,39,47,47,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
147,39,48,48,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
148,39,49,49,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
149,39,96,96,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
150,40,50,50,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
151,40,51,51,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
152,40,52,52,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
153,40,53,53,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
154,40,97,97,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
155,41,54,54,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
156,41,55,55,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
157,42,56,56,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
158,42,57,57,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
159,42,58,58,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
160,42,59,59,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
161,43,60,60,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
162,43,61,61,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
163,43,62,62,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
164,44,63,63,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
165,44,64,64,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
166,44,65,65,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
167,45,66,66,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
168,45,67,67,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
169,46,68,68,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
170,46,69,69,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
171,46,70,70,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
172,47,71,71,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
173,47,72,72,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
174,47,73,73,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
175,47,74,74,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
176,48,75,75,1,"2010-04-29 11:09:35",1,"2010-04-29 11:09:35",NULL,NULL
177,48,76,76,1,"2010-04-29 11:09:35",1,"2010-04-29 11:09:35",NULL,NULL
178,48,77,77,1,"2010-04-29 11:09:35",1,"2010-04-29 11:09:35",NULL,NULL
179,49,78,78,1,"2010-04-29 11:09:35",1,"2010-04-29 11:09:35",NULL,NULL
180,49,79,79,1,"2010-04-29 11:09:35",1,"2010-04-29 11:09:35",NULL,NULL
181,49,98,98,1,"2010-04-29 11:09:35",1,"2010-04-29 11:09:35",NULL,NULL
182,50,80,80,1,"2010-04-29 11:09:35",1,"2010-04-29 11:09:35",NULL,NULL
183,50,81,81,1,"2010-04-29 11:09:35",1,"2010-04-29 11:09:35",NULL,NULL
184,50,82,82,1,"2010-04-29 11:09:35",1,"2010-04-29 11:09:35",NULL,NULL
185,50,83,83,1,"2010-04-29 11:09:35",1,"2010-04-29 11:09:35",NULL,NULL
186,50,84,84,1,"2010-04-29 11:09:35",1,"2010-04-29 11:09:35",NULL,NULL
187,51,85,85,1,"2010-04-29 11:09:35",1,"2010-04-29 11:09:35",NULL,NULL
188,51,86,86,1,"2010-04-29 11:09:35",1,"2010-04-29 11:09:35",NULL,NULL
189,51,87,87,1,"2010-04-29 11:09:35",1,"2010-04-29 11:09:35",NULL,NULL
190,51,88,88,1,"2010-04-29 11:09:35",1,"2010-04-29 11:09:35",NULL,NULL
191,51,89,89,1,"2010-04-29 11:09:35",1,"2010-04-29 11:09:35",NULL,NULL
192,52,90,90,1,"2010-04-29 11:09:35",1,"2010-04-29 11:09:35",NULL,NULL
193,52,91,91,1,"2010-04-29 11:09:35",1,"2010-04-29 11:09:35",NULL,NULL
194,52,92,92,1,"2010-04-29 11:09:35",1,"2010-04-29 11:09:35",NULL,NULL
195,52,93,93,1,"2010-04-29 11:09:35",1,"2010-04-29 11:09:35",NULL,NULL
196,52,94,94,1,"2010-04-29 11:09:35",1,"2010-04-29 11:09:35",NULL,NULL
393,105,1,1,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
394,105,2,2,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
395,105,3,3,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
396,105,4,4,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
397,105,5,5,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
398,106,6,6,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
399,106,7,7,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
400,106,8,8,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
401,106,9,9,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
402,107,10,10,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
403,107,11,11,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
404,107,12,12,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
405,108,13,13,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
406,108,14,14,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
407,108,15,15,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
408,108,16,16,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
409,108,17,17,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
410,109,18,18,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
411,109,19,19,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
412,109,20,20,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
413,109,21,21,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
414,109,22,22,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
415,110,23,23,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
416,110,24,24,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
417,110,95,95,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
418,111,25,25,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
419,111,26,26,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
420,112,27,27,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
421,112,28,28,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
422,112,29,29,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
423,112,30,30,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
424,113,31,31,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
425,113,32,32,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
426,113,33,33,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
427,113,34,34,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
428,114,35,35,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
429,114,36,36,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
430,114,37,37,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
431,115,38,38,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
432,115,39,39,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
433,115,40,40,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
434,115,41,41,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
435,116,42,42,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
436,116,43,43,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
437,116,44,44,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
438,116,45,45,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
439,117,46,46,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
440,117,47,47,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
441,117,48,48,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
442,117,49,49,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
443,117,96,96,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
444,118,50,50,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
445,118,51,51,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
446,118,52,52,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
447,118,53,53,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
448,118,97,97,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
449,119,54,54,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
450,119,55,55,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
451,120,56,56,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
452,120,57,57,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
453,120,58,58,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
454,120,59,59,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
455,121,60,60,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
456,121,61,61,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
457,121,62,62,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
458,122,63,63,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
459,122,64,64,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
460,122,65,65,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
461,123,66,66,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
462,123,67,67,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
463,124,68,68,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
464,124,69,69,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
465,124,70,70,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
466,125,71,71,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
467,125,72,72,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
468,125,73,73,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
469,125,74,74,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
470,126,75,75,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
471,126,76,76,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
472,126,77,77,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
473,127,78,78,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
474,127,79,79,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
475,127,98,98,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
476,128,80,80,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
477,128,81,81,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
478,128,82,82,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
479,128,83,83,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
480,128,84,84,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
481,129,85,85,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
482,129,86,86,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
483,129,87,87,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
484,129,88,88,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
485,129,89,89,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
